Saved Date,Job Url,Job Title,Company Name
"12/20/22, 2:54 PM",http://www.linkedin.com/jobs/view/3392564224,"Associate, Data Solutions & Analytics, Private Markets (2 year contract) 14890",GIC
"12/8/22, 5:01 PM",http://www.linkedin.com/jobs/view/3299783678,"Solution Architect, Data & Analytics, Tech Consulting",EY
"1/10/23, 12:55 AM",http://www.linkedin.com/jobs/view/3321716476,Senior Data Engineer,PwC Singapore
"3/16/23, 9:38 AM",http://www.linkedin.com/jobs/view/3497507883,Data & Analytics Engineer,Translucent
"12/5/22, 7:26 AM",http://www.linkedin.com/jobs/view/3383424421,Data Engineer,TransUnion
"12/5/22, 8:44 AM",http://www.linkedin.com/jobs/view/2846032457,BIG DATA ENGINEER - AWS /AZURE,Cognizant
"10/6/22, 7:57 AM",http://www.linkedin.com/jobs/view/3302654807,Data Engineer (RAD Platform),Bayer
"3/16/23, 9:38 AM",http://www.linkedin.com/jobs/view/3502730167,* Data Engineer,Jaguar Land Rover UK
"3/13/23, 8:30 AM",http://www.linkedin.com/jobs/view/3519388772,Data Engineer,Lynx Analytics
"3/16/23, 9:03 AM",http://www.linkedin.com/jobs/view/3509908691,Senior Consultant - Data & AI,Deloitte
"1/30/23, 1:55 AM",http://www.linkedin.com/jobs/view/3436980324,"Data Engineer - Informatica, ETL & Hadoop",Randstad Singapore
"12/5/22, 8:41 AM",http://www.linkedin.com/jobs/view/3046885273,*AWS Data Engineer*,Accenture Australia
"12/15/22, 7:35 PM",http://www.linkedin.com/jobs/view/3402112937,Data Engineer,Electronic Arts (EA)
"11/24/22, 2:28 AM",http://www.linkedin.com/jobs/view/3372816494,Sr. Data Engineer,Visa
"12/16/22, 2:59 PM",http://www.linkedin.com/jobs/view/3402875261,Senior Data Engineer,Shell
"12/5/22, 8:44 AM",http://www.linkedin.com/jobs/view/3283627318,Data Engineer - Cloud,Coles Group
"11/29/22, 3:18 PM",http://www.linkedin.com/jobs/view/3350896178,Data Engineer III,Rackspace Technology
"3/16/23, 9:02 AM",http://www.linkedin.com/jobs/view/3511913134,Big Data Developer,Shell Infotech
"1/27/23, 1:51 PM",http://www.linkedin.com/jobs/view/3408018583,Data Engineer,minden.ai
"11/24/22, 6:33 AM",http://www.linkedin.com/jobs/view/3321665960,Data Engineering,Accenture Southeast Asia
"3/16/23, 9:02 AM",http://www.linkedin.com/jobs/view/3522204897,"P1 - Senior Application Analyst / Developer, ETL / Python REMOTE",Randstad Canada
"12/20/22, 2:50 PM",http://www.linkedin.com/jobs/view/3398393721,Data Analytics Engineer,NVIDIA
"2/24/23, 5:01 AM",http://www.linkedin.com/jobs/view/3495205978,Hiring Big Data Engineer for a Singapore based IT Services firm,Brij HR Sollutions
"1/17/23, 9:05 PM",http://www.linkedin.com/jobs/view/3437859850,Data Engineer,POWER IT SERVICES
"1/10/23, 12:51 AM",http://www.linkedin.com/jobs/view/3422093141,Data Engineer,The Coca-Cola Company
"11/26/22, 4:47 PM",http://www.linkedin.com/jobs/view/3358786677,AWS ETL Cloud Data Engineer (IFRS17),Income
"11/26/22, 6:16 AM",http://www.linkedin.com/jobs/view/3319017626,Senior Data Engineer,Singtel
"3/16/23, 9:38 AM",http://www.linkedin.com/jobs/view/3518404921,Data Engineer,CTS
"11/26/22, 6:18 AM",http://www.linkedin.com/jobs/view/3348563554,Data Engineer,Illumina
"11/25/22, 4:00 PM",http://www.linkedin.com/jobs/view/3367243355,"Data Engineer, Management Insights",KPMG Singapore
"12/5/22, 8:42 AM",http://www.linkedin.com/jobs/view/3189435433,Data Engineers - Technology Consulting - Data & Analytics,EY
"12/5/22, 8:42 AM",http://www.linkedin.com/jobs/view/3046886127,*AWS Data Engineer*,Accenture Australia
"12/20/22, 2:38 PM",http://www.linkedin.com/jobs/view/3357583249,Data Engineer,Thales
"11/22/22, 4:58 PM",http://www.linkedin.com/jobs/view/3353686179,Data Engineer (Big Data),Avanade
"2/14/23, 12:17 AM",http://www.linkedin.com/jobs/view/3467846141,Data Engineer,Lawrence Harvey
"12/5/22, 8:43 AM",http://www.linkedin.com/jobs/view/3189431711,Data Engineers - Technology Consulting - Data & Analytics,EY
"3/18/23, 7:51 AM",http://www.linkedin.com/jobs/view/3514628225,Specialist Data Engineering,Publicis Sapient
"11/28/22, 6:52 PM",http://www.linkedin.com/jobs/view/3321716454,"Deals - Data Analytics, Manager",PwC Singapore
"1/10/23, 12:51 AM",http://www.linkedin.com/jobs/view/3427650245,Data Engineer,BGC Group
"12/8/22, 5:02 PM",http://www.linkedin.com/jobs/view/3371668487,"Cloud Software Engineer, Associate",JPMorgan Chase & Co.
"12/5/22, 8:46 AM",http://www.linkedin.com/jobs/view/2991533478,Cloud Engineer (Data & AI),Accenture Australia
"1/10/23, 12:54 AM",http://www.linkedin.com/jobs/view/3306844584,Data Engineer,Capgemini
