Date,Type,Link
2022-05-30 11:20:53,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6936973854766415873
2022-05-30 07:52:16,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6936898109205540864
2022-05-29 16:34:50,INTEREST,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6936647088659144704
2022-05-26 04:01:17,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6934506532944392192?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6934506532944392192%2C6934530775929229312%29
2022-05-26 03:17:13,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6934229939730661376?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6934229939730661376%2C6934877488485412865%29
2022-05-22 01:12:09,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6932930121565630464
2022-05-21 15:01:45,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6933697417523400704?commentUrn=urn%3Ali%3Acomment%3A%28activity%3A6933697417523400704%2C6933787814610239488%29
2022-05-21 04:00:34,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6933459270168436736
2022-05-19 09:57:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6932769925480509440
2022-05-12 02:12:32,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6930321176279863296
2022-05-09 14:37:49,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6929375704857878528
2022-05-09 13:44:50,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6929419449435381760
2022-05-08 13:32:49,PRAISE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6929017186615189504
2022-05-02 09:43:16,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6923164299544662017
2022-04-28 08:55:27,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6923247895106199552
2022-04-27 15:10:33,APPRECIATION,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6924908468046884864
2022-04-18 05:04:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6921676376739627008
2022-04-15 15:44:59,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6920704128969043968
2022-04-15 09:29:13,INTEREST,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6920233009602334720
2022-04-14 15:29:59,EMPATHY,https://www.linkedin.com/feed/update/urn%3Ali%3Acomment%3A%28groupPost%3A12135067-6920295494191652864%2C6920389192543805440%29
