Date,Link,Message
2022-05-26 06:48:35,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6934882041368907776,Great opportunity
2022-05-25 00:31:19,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6934527276709490688,++ wide reach #widereach
2022-05-23 10:15:36,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6934229939730661376,But no where it seems like that😂 Kartik Kudada 
2022-05-23 08:57:32,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6934229939730661376,I'm not understanding what is scala developers with python...they need experience in both??
2022-05-21 19:12:39,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6931830474621227008,Shah Jaivik  nothing to say  sorry here bro....it just knowledge sharing each other....I hope you understand 🤝
2022-05-21 14:19:59,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6933697417523400704,Aravind Sriram agree.... product based companies mostly make use out of it....but it still takes time for other companies to jump in
2022-05-21 12:52:23,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6933697417523400704,Most of the  compines ....which migrating to cloud have  having csv formatted data because of the traditional database is rdbms.. which is eventually having data in structured format....only some companies hold unstructured data...which is Json or xml files present...Aravind Sriram
2022-05-19 10:19:20,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6932884107873910785,Suraz Ghimire 😂 agree...
2022-05-19 09:59:48,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6932884107873910785,Suraz Ghimire  inside me....let people learn data science...more jobs for data engineers...😅
2022-05-18 00:28:13,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6932374447039340544,++
2022-05-17 23:46:05,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6931830474621227008,"How about randint function ,? Shah Jaivik "
2022-05-16 22:24:39,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6932037822493188097,Congratulations bro Gokul Reghunath 
2022-05-16 08:42:52,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6931883361229553664,"Congo....Komal Jain, PSM I, CIS-ITSM, CSA, ITIL®v3 "
2022-05-12 02:13:05,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6930321176279863296,Congrats Shashidhar Yadav K T
2022-05-11 12:27:45,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6930107299642380289,Congratulations bro Sachin Mittal 
2022-05-07 14:31:49,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6927940388800397312,Al the best Akhil Kamal 
2022-05-01 02:59:26,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6924731282165833728,Waiting for invite Clémence Meyer 
2022-04-16 02:25:13,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6920711730448764928,No need to guess....all government banks are same ..we need to have option to this question is all of the above 😅
2022-04-15 15:48:26,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6920704128969043968,Sai Babu Chowdary Jasti instead of hard coding  date we can add the column name right?
2022-04-15 11:50:31,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6920233009602334720,Ola Electric you have lost so many customers sir ... Stick to basics...
2022-04-15 09:30:32,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6920233009602334720,Ola Electric These type of answers  doesn't work anymore...sir....
2022-04-15 09:25:20,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6920045799129165824,DTDC Express Limited
2022-04-14 15:46:47,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6920342766031970304,PRAMOD AGRAWAL
2022-04-14 15:44:56,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6920219591373713408,Akash Mahindrakar check my post

https://www.linkedin.com/posts/sairam-p-l_sql-interviewprep-interview-activity-6899332334727106560-ep4n?utm_source=linkedin_share&utm_medium=android_app
2022-04-14 15:33:36,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A12135067-6920295494191652864,Information schema is one time best approach to check the status accurately....and check the possibilities with time travel concept
2022-04-14 14:27:38,https://www.linkedin.com/feed/update/urn%3Ali%3AgroupPost%3A12135067-6920295494191652864,Sachin Mittal  need ur expertise
2022-04-13 05:44:47,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6919688716072493056,Rahul Esikala
